Initial_Population,Final_Population
344191.91,125577.97
340487.79,125856.17
305566.54,126990.38
327623.96,132521.28
330417.82,134744.50
319763.29,138670.63
311393.17,140762.68
324977.43,147578.30
325621.66,148763.28
347612.01,150820.59
342117.75,152426.60
321435.26,152805.08
325552.57,155670.93
311587.27,156308.72
352384.17,156562.00
318820.47,157515.03
332392.03,158479.33
326976.95,164203.34
328543.30,165868.70
325087.68,166763.62
322309.42,167869.62
320196.16,169163.37
337069.56,170806.16
312541.79,171753.92
332778.61,172399.41
338279.30,174156.98
347027.99,174439.73
320416.16,174636.85
345381.80,176353.53
365173.40,176834.00
350614.10,177662.83
340938.21,178693.65
326231.09,178734.20
354697.49,179788.95
328576.12,179974.56
331220.75,180287.18
336671.72,186839.46
346899.46,186902.89
353153.43,187517.31
328448.61,187851.53
334356.08,190210.49
318913.99,192514.40
326017.45,192761.21
328826.48,192821.94
330750.41,193328.86
332318.59,195762.61
342406.30,199967.48
343230.62,200838.68
310527.31,201124.69
339212.67,201256.20
328491.64,202063.70
334796.87,202304.94
341898.09,202791.12
333639.26,205854.50
318370.70,212407.58
338861.58,212640.25
312456.67,213526.46
351667.17,214123.84
337444.95,217215.76
326211.16,218337.30
318023.28,221795.14
328125.63,222201.67
334056.62,222820.16
357552.10,223006.52
340280.07,223240.83
339716.03,223453.39
340241.81,224256.23
317359.03,224359.55
317283.72,224700.22
335280.74,224913.40
343728.87,226133.45
324976.68,228432.84
324471.45,230026.08
342540.23,231581.32
319185.23,232945.29
337949.67,232963.43
337456.23,236520.19
335652.18,236563.82
338674.00,237047.49
327755.42,237205.81
331467.02,238358.82
315829.52,239440.66
335240.46,239778.48
342789.31,241138.03
323069.58,241310.02
352378.82,241401.26
326025.74,242032.94
365019.15,242629.38
334893.24,242986.31
348531.21,243131.85
350328.78,243920.73
335923.01,244468.44
328142.10,244765.46
325081.21,246119.61
337775.43,246167.18
339832.41,247379.04
325238.14,249834.28
312627.88,249894.36
314223.33,251996.97
350007.68,253382.05
